종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"077500","유니퀘스트","KOSPI",,"7260","510","7.56","6970","7420","6600","135678","962382070","197183712660","27160291"
"011320","유니크","KOSDAQ","우량기업부","3385","210","6.61","3175","3425","3155","152522","506941085","65400552575","19320695"
"086390","유니테스트","KOSDAQ","우량기업부","12300","-150","-1.20","12650","12700","12100","329332","4076321900","259949749800","21134126"
"241690","유니테크노","KOSDAQ","우량기업부","15100","-200","-1.31","15100","15550","15100","9289","142250350","180105552000","11927520"
"142210","유니트론텍","KOSDAQ","벤처기업부","4140","-100","-2.36","4175","4260","4070","21519","88735330","41118273000","9931950"
"121060","유니포인트","KONEX","일반기업부","17100","0","0.00","17100","17100","17100","1","17100","10228655700","598167"
"048430","유라테크","KOSDAQ","우량기업부","6080","770","14.50","5310","6350","5280","2329254","13953184280","70041600000","11520000"
"206650","유바이오로직스","KOSDAQ","기술성장기업부","4860","180","3.85","4685","4860","4685","43986","209401320","122902041960","25288486"
"089850","유비벨록스","KOSDAQ","벤처기업부","5270","160","3.13","5150","5300","5050","31688","164587730","37499723190","7115697"
"084440","유비온","KONEX","일반기업부","1835","-55","-2.91","1835","1835","1835","600","1101000","5499691345","2997107"
"032620","유비케어","KOSDAQ","우량기업부","3540","55","1.58","3500","3585","3435","194570","682592365","184777872060","52197139"
"264450","유비쿼스","KOSDAQ","우량기업부","31350","1950","6.63","29750","32100","28750","68270","2106342650","160635989250","5123955"
"078070","유비쿼스홀딩스","KOSDAQ","우량기업부","5480","250","4.78","5310","5520","5170","34953","189056200","102457521440","18696628"
"002920","유성기업","KOSPI",,"2800","105","3.90","2690","2800","2650","10241","27845675","72653000000","25947500"
"024800","유성티엔에스","KOSDAQ","우량기업부","2480","80","3.33","2400","2560","2400","28781","71394800","67489678400","27213580"
"000700","유수홀딩스","KOSPI",,"6180","10","0.16","6300","6300","6180","17077","106306950","160938398160","26041812"
"054930","유신","KOSDAQ","중견기업부","12650","50","0.40","12400","13300","12300","15750","201548100","37950000000","3000000"
"252370","유쎌","KONEX","일반기업부","18250","-500","-2.67","18250","18250","18250","100","1825000","23268750000","1275000"
"069330","유아이디","KOSDAQ","벤처기업부","2010","325","19.29","1755","2100","1725","4055063","8040062980","23894461920","11887792"
"049520","유아이엘","KOSDAQ","우량기업부","4385","55","1.27","4500","4500","4330","9474","41536425","95526944360","21784936"
"287410","유안타제3호스팩","KOSDAQ","SPAC(소속부없음)","2040","-10","-0.49","2035","2045","2035","10003","20391415","8639400000","4235000"
"003470","유안타증권","KOSPI",,"3160","85","2.76","3075","3180","3055","305201","955958490","630725180160","199596576"
"003475","유안타증권우","KOSPI",,"2145","145","7.25","2230","2230","2095","82715","179655625","27696694740","12912212"
"056090","유앤아이","KOSDAQ","기술성장기업부","10650","350","3.40","10400","10900","10250","25823","275233750","82405887300","7737642"
"011690","유양디앤유","KOSPI",,"7140","620","9.51","6760","7250","6480","483539","3357399750","403778438280","56551602"
"263770","유에스티","KOSDAQ","중견기업부","4970","590","13.47","4515","5480","4515","1583634","8106410555","117789854840","23700172"
"072130","유엔젤","KOSPI",,"3210","170","5.59","3020","3255","2995","61409","191118275","42357407340","13195454"
"000220","유유제약","KOSPI",,"10850","0","0.00","10800","10950","10400","89318","960706350","69099168950","6368587"
"000225","유유제약1우","KOSPI",,"6800","20","0.29","6870","6890","6610","1376","9350640","7707562000","1133465"
"000227","유유제약2우B","KOSPI",,"16450","-400","-2.37","17150","17150","16150","1048","17101900","2699116000","164080"
"195990","유지인트","KOSDAQ","중견기업부","543","-2","-0.37","553","553","525","1468498","788381686","43377613644","79885108"
"023410","유진기업","KOSDAQ","우량기업부","5230","-20","-0.38","5290","5310","5130","661369","3447291570","403348410410","77122067"
"056080","유진로봇","KOSDAQ","벤처기업부","3700","185","5.26","3540","3720","3540","184721","675479125","138794962400","37512152"
"084370","유진테크","KOSDAQ","우량기업부","12850","0","0.00","12850","13000","12550","128243","1630570900","294471139700","22916042"
"001200","유진투자증권","KOSPI",,"2320","70","3.11","2255","2335","2250","279721","644118130","224730089760","96866418"
"178780","유테크","KOSDAQ","중견기업부","2845","25","0.89","2800","2860","2705","94426","264810960","48664376505","17105229"
"221800","유투바이오","KONEX","일반기업부","19000","-3350","-14.99","0","0","0","0","0","36109690000","1900510"
"179900","유티아이","KOSDAQ","벤처기업부","14900","700","4.93","14250","15000","13850","284204","4138395200","79448960500","5332145"
"000100","유한양행","KOSPI",,"167500","-26500","-13.66","183500","184500","164500","330484","55674043000","2045066795000","12209354"
"000105","유한양행우","KOSPI",,"163500","-26000","-13.72","189000","199000","161000","2974","499271500","38616738000","236188"
"003460","유화증권","KOSPI",,"13500","100","0.75","13700","13700","13350","3226","43344650","153096520500","11340483"
"003465","유화증권우","KOSPI",,"13600","350","2.64","13300","13600","13300","638","8549500","47535876000","3495285"
"191410","육일씨엔에쓰","KOSDAQ","중견기업부","3620","45","1.26","3550","3800","3530","19973","72609845","33894139640","9363022"
"008730","율촌화학","KOSPI",,"12350","450","3.78","11900","12500","11750","48812","590550600","306280000000","24800000"
"008250","이건산업","KOSPI",,"9140","-10","-0.11","9180","9330","8980","177144","1620471550","94333857740","10320991"
"039020","이건홀딩스","KOSDAQ","중견기업부","2325","15","0.65","2310","2345","2290","31826","73626165","52509448425","22584709"
"025820","이구산업","KOSPI",,"1880","0","0.00","1940","1950","1830","185778","350830295","62870960000","33442000"
"060230","이그잭스","KOSDAQ","벤처기업부","1850","120","6.94","1715","1855","1715","135918","246068820","93837538900","50722994"
"067920","이글루시큐리티","KOSDAQ","벤처기업부","4035","65","1.64","3980","4095","3860","17588","70396980","44369340165","10996119"
"044960","이글벳","KOSDAQ","중견기업부","3680","105","2.94","3535","3690","3480","95928","341576030","46522129440","12641883"
"214320","이노션","KOSPI",,"58000","2100","3.76","54300","59500","53500","56327","3225347500","1160000000000","20000000"
"073490","이노와이어리스","KOSDAQ","벤처기업부","17000","650","3.98","16650","17000","16200","58041","956900750","102042500000","6002500"
