회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
OCI(주),010060,2021/12,5704061113,82.6,54.76,0,377690582,1.64,0.91,3243996752,
SK이노베이션(주),096770,2021/12,49557440204,152.42,39.62,0,-495480899,2.09,1.23,46842929105,
SNT다이내믹스(주),003570,2021/12,879625081,34.72,74.23,0,1598439,0.64,0.3,335954013,
SNT모티브(주),064960,2021/12,1149796359,34.07,74.59,0,59647722,1.45,0.74,941744684,
STX엔진(주),077970,2021/12,837479879,194.91,33.91,-15.89,18198738,2.03,0.66,493455302,
STX중공업(주),071970,2021/12,430406730,179.56,35.77,-33.92,13475983,2.63,0.59,163850812,
가온전선(주),000500,2021/12,658966429,145.78,40.69,0,-11282516,0.79,0.32,1070383205,
강남제비스코(주),000860,2021/12,904010952,36.57,73.22,73.41,-1788547,0.76,0.43,590984000,
경인전자(주),009140,2021/12,65884753,10.55,90.46,0,627248,1.28,0.71,27390669,
계룡건설산업(주),013580,2021/12,2327054067,208.49,32.42,16.45,122435477,0.62,0.37,2561801412,
계양전기(주),012200,2021/12,285053130,55.57,64.28,3.32,-4134645,1.21,0.7,392290546,
고려산업(주),002140,2021/12,238594901,123.32,44.78,12.06,14794041,1.44,0.69,213486552,
고려아연(주),010130,2021/12,9964048635,28.83,77.62,31.59,606883889,1.74,1.1,9976776444,
고려제강(주),002240,2021/12,2474272368,51.04,66.21,21.04,39463450,0.68,0.28,1691354877,
광동제약(주),009290,2021/12,883845298,67.63,59.65,7.59,54939860,1.19,0.73,1338181554,
광전자(주),017900,2021/12,238961555,13.41,88.18,0,-1308096,1.1,0.61,173773675,
교보증권(주),030610,2021/12,,,,,-1029209698,,,2248077232,
교촌에프앤비(주),339770,2021/12,254727913,41.67,70.59,13.4,32614972,3.74,2.61,507628215,
국도화학(주),007690,2021/12,1416366192,73.8,57.54,0,-25929996,0.99,0.42,1577111747,
국제약품(주),002720,2021/12,139783047,103.8,49.07,0,9597052,3.16,1.39,119745569,
그랜드코리아레저(주),114090,2021/12,531306108,38.52,72.19,0,-128217469,3.18,1.91,85086861,
그린케미칼(주),083420,2021/12,,,,,,3.95,1.65,,
극동유화(주),014530,2021/12,321935348,76.81,56.56,54.9,-14225850,1.43,0.68,964831743,
금강공업(주),014280,2021/12,868658748,124.65,44.51,13.67,-20224458,1.18,0.5,570535533,
금호건설(주),002990,2021/12,1735985669,165.92,37.61,12.87,181187511,0.85,0.48,2065076215,
