기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
엠투엔,033310,D,D,D,D,2022
영보화학,014440,D,C,C,D,2022
영원무역,111770,B+,C,B+,B+,2022
영원무역홀딩스,009970,C,C,B+,C,2022
영진약품,003520,B+,B+,B+,B,2022
영풍,000670,B,C,B+,B,2022
영풍정밀,036560,B,C,B,B+,2022
영풍제지,006740,D,C,D,D,2022
영화금속,012280,D,D,D,C,2022
영흥,012160,C,D,D,B,2022
예스코홀딩스,015360,B,C,B,B,2022
오뚜기,007310,C,C,B+,C,2022
오리엔트바이오,002630,D,D,D,D,2022
오리온,271560,A,B+,A,A,2022
오리온홀딩스,001800,A,B+,A,A,2022
오리콤,010470,C,D,C,C,2022
오스코텍,039200,D,D,D,D,2022
오스템임플란트,048260,D,D,D,D,2022
오이솔루션,138080,C,D,D,B,2022
오하임아이엔티,309930,D,D,D,C,2022
와이즈버즈,273060,D,D,D,C,2022
와이지엔터테인먼트,122870,C,C,B+,D,2022
와이투솔루션,011690,D,D,D,C,2022
용평리조트,070960,D,C,D,D,2022
우리금융지주,316140,A,A,A+,B+,2022
우리금융캐피탈,033660,-,-,-,B,2022
우리기술투자,041190,D,D,D,D,2022
우리은행,000030,-,-,-,B+,2022
우리종합금융,010050,B,C,B,B+,2022
우리카드,879070,-,-,-,B+,2022
우성,006980,C,D,C,B,2022
우신시스템,017370,D,D,D,C,2022
우진,105840,C,D,C,B,2022
우진아이엔에스,010400,C,D,D,B,2022
우진플라임,049800,D,D,D,D,2022
웅진,016880,C,C,B+,C,2022
웅진씽크빅,095720,B+,C,B+,B+,2022
원림,005820,D,D,D,C,2022
원익IPS,240810,B,C,B+,B,2022
원익QnC,074600,D,D,C,C,2022
원익머트리얼즈,104830,C,C,B,B,2022
원익홀딩스,030530,C,C,B,D,2022
웰바이오텍,010600,D,D,D,D,2022
웹젠,069080,C,D,C,C,2022
위메이드,112040,C,B,B+,C,2022
윌비스,008600,D,D,D,C,2022
유나이티드,033270,B,C,C,B+,2022
유니드,014830,B,C,B+,B,2022
유니슨,018000,D,D,D,C,2022
유니온,000910,C,C,C,B,2022
유니온머티리얼,047400,D,D,D,C,2022
유니켐,011330,D,D,D,D,2022
유니퀘스트,077500,D,D,D,D,2022
유바이오로직스,206650,D,D,D,D,2022
유성기업,002920,C,C,C,C,2022
유수홀딩스,000700,B+,B,B+,B+,2022
