회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)삼원강재,023000,2021/12,270679644,23.75,80.81,21.94,6737740,0.86,0.47,299952544,20.86
(주)삼익악기,002450,2021/12,348589340,76.46,56.67,40.47,-8452552,0.97,0.65,151547186,9.16
(주)삼일씨엔에스,004440,2021/12,345935541,26.06,79.33,20.42,-11525831,0.82,0.38,224073629,0
(주)삼천리,004690,2021/12,3097379762,132.77,42.96,9.52,262900494,0.33,0.24,2623051699,50.66
(주)상상인증권,001290,2021/12,585045704,196.24,33.76,23.97,-84586740,0.79,0.51,46008046,0
(주)서연,007860,2021/12,308307217,1.13,98.88,19.9,3971205,2.06,0.55,15619974,18.49
(주)서연이화,200880,2021/12,1118832703,68.18,59.46,5.29,117260815,0.45,0.25,1078250090,29.99
(주)서원,021050,2021/12,222922979,156.56,38.98,34.39,-14707815,2.11,0.97,261636394,3
(주)서흥,008490,2021/12,485995042,61.44,61.94,7.14,36361660,2.35,1.57,413782572,91.37
(주)선앤엘,002820,2021/12,460607389,108.9,47.87,64.99,1746653,0.46,0.26,318393835,7.65
(주)선진,136490,2021/12,818686440,104.87,48.81,25.78,31101810,1.37,0.59,1169293605,20
(주)성안,011300,2021/12,114372802,290.03,25.64,5.01,-528339,2.69,0.66,31096704,0
(주)세아베스틸지주,001430,2021/12,2579116663,65.46,60.44,54.44,83027935,0.87,0.25,2153394390,22.19
(주)세아제강,306200,2021/12,1228191226,80.72,55.33,30.15,22030620,0.59,0.34,1497360776,69.1
(주)세아제강지주,003030,2021/12,746908093,11.89,89.37,0.72,4948238,0.92,0.27,13396599,34.14
(주)세아특수강,019440,2021/12,488152167,50.26,66.55,34.51,-27395235,0.55,0.3,634630430,23.37
(주)세아홀딩스,058650,2021/12,1048150272,13.69,87.96,-25.59,40455840,0.57,0.32,53192791,49.29
(주)세우글로벌,013000,2021/12,49475179,9.82,91.05,18,1466448,4.73,1.04,32394256,0
(주)세원정공,021820,2021/06,289366967,12.31,89.04,15.53,16822659,0.32,0.32,58380396,5
(주)세이브존아이앤씨,067830,2021/12,564254721,23.22,81.16,-9.32,14027855,0.39,0.25,122173236,2.76
(주)세진중공업,075580,2021/12,444397560,177.3,36.06,-17.07,-1065919,3.08,1.76,221657469,26.34
(주)셀트리온,068270,2021/12,5315369384,32.89,75.25,-4.38,802547349,19.77,9.81,1615839890,76.26
(주)솔루엠,248070,2021/12,336635050,53.77,65.03,-16.66,-51821673,9.13,4.76,621506310,0
(주)수산중공업,017550,2021/12,169136119,60.85,62.17,84.46,-1952355,4.3,1.18,103586429,2
(주)시디즈,134790,2021/12,84805501,38.01,72.46,10.75,-7169348,2.94,1.76,251936903,67.16
(주)신도리코,029530,2021/12,1010678253,7.79,92.77,-4.17,30513898,0.4,0.27,308631359,28.27
(주)신성이엔지,011930,2021/12,403271856,122.16,45.01,-10.2,-24193422,4.28,2,329555144,0
(주)신세계,004170,2021/12,7721030612,105.3,48.71,14.51,585699617,0.87,0.56,1671594565,59.95
(주)신세계아이앤씨,035510,2021/12,354134942,28.17,78.02,9.53,31880470,1.91,0.84,526089048,38.21
(주)신세계인터내셔날,031430,2021/12,1053099871,67.47,59.71,9.34,133126101,2.93,1.68,1324581497,30
(주)신세계푸드,031440,2021/12,871652860,206.08,32.67,7.87,71952997,1.59,0.89,1322704314,15
(주)신영와코루,005800,2021/12,372654678,18.01,84.74,6.4,9599741,0.38,0.26,189003208,30
(주)신원,009270,2021/12,512570594,140.17,41.64,26.07,-5090661,1.68,0.57,870189485,8.49
(주)신풍,002870,2021/12,91177831,3.9,96.25,-26.11,-5984123,1.96,0.82,17725440,9.51
(주)신한금융지주회사,055550,2021/12,36815893000,39.43,71.72,5.06,2013696000,0.9,0.63,1771568000,25.18
(주)신화다이나믹스,001770,2021/12,71036421,74.96,57.15,35.49,-770578,1.3,0.61,104770706,2
(주)신흥,004080,2021/12,130169357,31.59,75.99,8.8,6581860,1.9,1.03,126874928,16.76
(주)쌍방울,102280,2021/12,388192805,72.05,58.12,2.66,-2975163,1.69,0.7,91955380,0
(주)쎌마테라퓨틱스,015540,2021/12,27008561,91.32,52.27,-0.62,-7542447,49.89,25.68,9568090,0
(주)씨아이테크,004920,2021/12,52389816,45.55,68.71,2.63,-3383571,2.3,0.94,16977463,0
(주)씨티알모빌리티,308170,2021/12,232428519,175.06,36.36,18.99,1945168,4.27,2.11,275893310,0
(주)아모레퍼시픽,090430,2021/12,5291052656,11.96,89.32,15.19,490711600,4.61,2.39,3475232780,195.87
(주)아모레퍼시픽그룹,002790,2021/12,2115979028,4.08,96.08,-31.11,24278873,3.89,1.95,36094473,87.39
(주)아센디오,012170,2021/12,67529072,50.27,66.55,43.7,-8347175,6.16,1.58,21553733,0
(주)아이마켓코리아,122900,2021/12,782490914,108.85,47.88,13.16,36997348,1.35,0.77,2353473845,25.98
(주)아이에이치큐,003560,2021/12,232934030,96.12,50.99,-26.03,17041209,3.89,1.81,58789375,0
(주)알루코,001780,2021/12,456060104,111.89,47.19,18.41,-17287419,2.42,1.17,276619648,0
(주)에넥스,011090,2021/12,132118154,100.67,49.83,-13.39,-19219031,3.49,1.12,200317330,0
(주)에스비에스,034120,2021/12,1195935566,101.23,49.69,20.22,94468310,1.97,0.67,909840568,19.38
(주)에스엠벡셀,010580,2021/12,47837811,47.84,67.64,3.35,-3239766,3.08,0.62,73077586,0
(주)에스원,012750,2021/12,1899472792,34.8,74.19,4.02,318867723,2.77,2.24,2277128864,444.88
(주)에스제이엠,123700,2021/12,163036392,16.03,86.18,13.73,-1328601,0.78,0.37,67188708,30
(주)에스제이엠홀딩스,025530,2021/12,164815800,9.21,91.57,43.86,5073413,0.63,0.3,6103150,31.76
(주)에스지글로벌,001380,2021/12,180340624,50.91,66.26,-29.5,-516288,1.88,0.59,56442693,0
(주)에스지세계물산,004060,2021/12,308118590,24.81,80.12,-20.02,8926828,0.77,0.5,133439060,0
(주)에스피씨삼립,005610,2021/12,953617805,186.95,34.85,8.21,88523269,2.59,1.8,1369338593,20.82
(주)에이블씨엔씨,078520,2021/12,172712604,44.97,68.98,-11.58,5598648,3.18,1.43,199450165,0
(주)에이엔피,015260,2021/12,82030111,173.69,36.54,-15.59,-8847576,2.17,0.97,69285789,0
(주)에이프로젠,007460,2021/12,574287577,64.24,60.89,11.78,-2121352,1.64,0.8,81081676,0
(주)에이프로젠바이오로직스,003060,2021/12,495499165,2.13,97.92,6.97,5684997,1.16,0.69,34050417,0
(주)에이플러스에셋어드바이저,244920,2021/12,163625949,68.7,59.28,-10.52,11350604,3.53,1.24,218381707,30
(주)에프앤에프,383220,2021/12,1073133609,,,,297333286,,,1081845593,
(주)에프앤에프홀딩스,007700,2021/12,1923684641,0.93,99.07,-99.64,81957482,2.07,0.36,2923394,33.96
(주)엔씨소프트,036570,2021/12,4489052528,42.46,70.19,-5.04,374750389,7.64,4.05,2129326953,1084.1
(주)엔아이스틸,008260,2021/12,341056807,140.43,41.59,28.89,28000901,1.37,0.52,248212749,15
(주)엔케이,085310,2021/12,127002550,27.98,78.14,-0.53,13952173,1.31,0.73,68963675,0
(주)엘에스,006260,2021/12,4028895000,13.6,88.03,110.58,86667000,0.74,0.45,349037000,25.01
(주)엘에스네트웍스,000680,2021/12,1257845020,140.92,41.51,24.85,16719272,0.95,0.38,224009728,0
(주)엘에프,093050,2021/12,1838417505,32.73,75.34,2.65,100203046,0.5,0.31,1145491529,11.68
(주)엘엑스인터내셔널,001120,2021/12,3019044208,67.23,59.8,27.55,-5635131,0.87,0.52,4155723686,42.69
(주)엘엑스하우시스,108670,2021/12,2079719000,164.39,37.82,13.88,96569000,1.52,0.74,2956861000,6.09
(주)엘엑스홀딩스,383800,2021/12,1442547000,,,,-22742000,,,185812000,
(주)엘지,003550,2021/12,9708699000,3.17,96.93,-2.6,690665000,2.34,1.42,989760000,56
(주)엘지생활건강,051900,2021/12,5112381322,21.11,82.57,12.17,682857210,9.13,5.39,4956147582,227.09
