기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당기업구분
문배철강,철강금속,2017,25.783997445001557,-0.5025235486476802,0.5381061762367018,0.6334835181930661,-0.5617523155588701,-0.5822781694870547,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
태광산업,화학,2017,29.044326408552323,-0.6474753854006402,1.1346402723241822,0.08567567949720388,0.7020813740212029,-0.6646660531804,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
갤럭시아에스엠,서비스업,2017,24.631905304661345,-0.6838554542327557,1.3233158872944166,-1.8349095335700827,-2.2365554104234855,0.3108064897488075,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
종근당,의약품,2017,27.24124036520153,-0.42885390926264655,0.3043736979899939,-0.37342036830280506,0.45592281375460547,0.9567274979046341,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,일반배당기업
영진약품,의약품,2015,25.98955214790145,-0.28697164081739635,-0.057019892873389204,-0.2947325085816245,0.07932294340554771,1.4082131005441658,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
조광페인트,화학,2022,26.679383509091686,-0.0902918936937722,-0.427330987926908,0.08717926917340475,-0.4036002752445202,-0.5888692001825223,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,일반배당기업
서원,철강금속,2011,26.686315631638212,0.17971642966958448,-0.7835618132065288,0.39391156311838893,-0.6419575974155021,-0.31863694166835,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
제이에스코퍼레이션,기타제조업,2018,25.967486224559195,-0.6896535277028741,1.3552311654485851,-1.0234723049803287,-0.10259670576107688,-0.25602215006140766,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,고배당기업
진도,유통업,2011,25.916757039489788,-0.05118331969924806,-0.4878761479546696,0.7908592376354273,-1.4261996346436987,-0.5196633778801123,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,고배당기업
대상,음식료품,2017,28.443031386897925,0.06426655498516813,-0.6474525387255141,-0.173442941368085,0.11887270369368554,-0.30545488027741474,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,고배당기업
한화투자증권,증권,2022,30.038839167355345,2.6009805420195176,-1.8208083532170187,0.16085516330724903,0.8610779317803171,-0.6053467769211913,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,무배당기업
웅진씽크빅,서비스업,2012,27.075448757303796,0.14202895211381492,-0.7413210038848345,-1.1728288794829516,0.1492069543803203,0.8084293072566129,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,무배당기업
현대백화점,유통업,2022,30.121681982991262,-0.30590064538160644,-0.014309741225898604,1.6494089427461427,0.16822653829935758,-0.7767135750033494,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,일반배당기업
그린케미칼,화학,2022,26.004667613193497,-0.4706909884195793,0.4325041529324664,0.3041973791050684,0.13506431599982893,0.35694370461708097,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,일반배당기업
신흥,유통업,2014,25.53903512461704,-0.5374256771834911,0.6634205772243945,-0.34836054036612335,0.4105556738334819,-0.3911382793184938,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
노루페인트,화학,2022,27.227819397420518,-0.30641224009955803,-0.013371056574305255,-0.22055541788904665,0.03408473988807498,-0.5196633778801123,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,고배당기업
호텔신라,유통업,2014,28.27678954291036,0.10195403254093786,-0.6943867713051742,0.9617672641635966,-0.010922725122160557,2.4463004350803166,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
영풍,철강금속,2012,28.694517000804122,-0.6285463808364302,1.0440572034454385,0.3843888285024498,1.5116753170745065,-0.14727014358619192,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,고배당기업
금호전기,전기전자,2015,26.887947672483353,0.11042376731591462,-0.7047123024726998,-0.9477916246115499,-0.7870508940208529,-0.5460275006619828,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
천일고속,운수창고업,2018,25.110392282948244,-0.6447468802382317,1.1214986872018773,-0.3448521644549879,-0.9910758101905861,0.544788079437908,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,고배당기업
한국내화,비금속광물,2012,25.944067384297426,-0.24968207026447803,-0.13727743058460815,0.03104525459523776,0.31627333454394957,-0.4109113714048966,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
흥아해운,운수창고업,2013,27.070760326524393,0.7062042382993553,-1.2139487259620125,-0.07370482618009179,-0.07623473247177748,-0.4471620402299685,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
무학,음식료품,2012,26.654557705408756,-0.6563998710360186,1.1792277932748596,-0.37342036830280506,1.0435206303599183,-0.29556833423421325,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
새론오토모티브,운수장비,2014,26.114148706480684,-0.6772047228993846,1.2876458705338747,-0.20752430736197217,1.3904269284135242,-0.0978374133701848,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
