,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
제일기획,서비스업,2018,28.40670550446137,0.01118781855886468,0.6162970241437395,0.002410730287260101,0.7070459463779851,0.10915401751023157,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
한농화성,화학,2021,26.103023507920657,0.0036610845992404556,0.8056569343065694,0.003048655661759316,0.6894529910484516,0.08485727607107703,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
인디에프,섬유의복,2017,25.679540920929426,0.008871239756146312,0.656372824256036,0.0023138891946670225,0.6928531004797208,0.0797285396052427,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
유니퀘스트,유통업,2014,26.220448459676952,0.0032363394463322008,0.824045480067378,0.0031614326303487238,0.6982091506442301,0.07796715536445112,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
현대홈쇼핑,유통업,2012,27.898265148017018,0.002656999550269838,0.8514879281302641,0.0025048745392999543,0.7288806807147091,0.08102367507641299,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
무림페이퍼,종이목재,2012,28.430722705521912,0.01956170047971217,0.5280741156653566,0.0024573120786339866,0.7096865080726533,0.06900481790395276,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
강남제비스코,화학,2021,27.53010731230945,0.0028553180591645013,0.8417321729365526,0.004135727572031999,0.6895766918509328,0.07128425633321245,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
삼성출판사,서비스업,2017,25.941516832207597,0.004551175544673196,0.7711959573273444,0.0025352752873544905,0.6989657912098785,0.08143811842718748,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
하이트진로,음식료품,2015,28.87242911897902,0.012590102188686787,0.5965047725996632,0.002382045710466708,0.7316514127278754,0.08045381546909806,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
동아지질,건설업,2015,26.28177889522994,0.006829496052368579,0.7022038180797305,0.0022638750607708504,0.7045510438927568,0.07226855929130187,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한농화성,화학,2012,25.582198629757045,0.005794960523685788,0.7306990454800675,0.002392342738033567,0.703003339150247,0.07226855929130187,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
인디에프,섬유의복,2012,26.06726025074949,0.00930379272436538,0.6480909601347559,0.0020277789287021556,0.713875878492157,0.06993731544319536,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
토니모리,화학,2021,26.032007743674775,0.008750999400359784,0.6587591240875913,0.002335954253738863,0.6887363138122982,0.07791534994560431,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,무배당기업
신성이엔지,기계,2011,26.752076940630566,0.013574667699380373,0.584081976417743,0.001946628544782386,0.640459944086171,0.08268144847951095,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
광명전기,전기전자,2017,25.751853289106307,0.004529313661802918,0.7720381807973049,0.0024526538994965983,0.707315670923678,0.08102367507641299,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
신흥,유통업,2017,25.600429195698144,0.004058502398560863,0.7896546883773161,0.002272455917076566,0.6958062939856438,0.07729368491944258,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
신라교역,"농업, 임업 및 어업",2017,27.033089676168252,0.0011454065060963422,0.9399213924761372,0.0032085047563686505,0.7134813621986044,0.07055898046935709,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
사조대림,음식료품,2018,27.30373298995609,0.009986195782530483,0.6358085345311624,0.002210918918998433,0.6924573397360667,0.07325286224939129,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
미래에셋증권,증권,2022,31.98166979564436,0.0587444408354987,0.4101628298708591,0.0033632053371945555,0.7376881733092401,0.071957726778221,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
세방,운수창고업,2022,27.87864167571418,0.002158860933439936,0.877667040988209,0.002875077197060836,0.7007580975779767,0.07366730560016577,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,고배당기업
남성,유통업,2017,26.038617065019313,0.01036721716969818,0.6293514879281303,0.0025779344015600487,0.7093383629246979,0.07506605190902968,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
동성제약,의약품,2017,25.545037219641994,0.007278445432740355,0.6910443571027514,0.002417840139627694,0.6960165265423871,0.08356214059990674,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
이수화학,화학,2018,27.564512377854278,0.010346136068358984,0.6297024143739474,0.0023742003561300538,0.6837494565487879,0.06848676371548464,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,일반배당기업
MH에탄올,음식료품,2021,26.835754278007272,0.03380705951429142,0.4595030881527232,0.0025281654349868974,0.7572909258113579,0.08397658395068124,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,고배당기업
대원제약,의약품,2021,26.786073642549812,0.007549376624025585,0.6846574957888827,0.002335954253738863,0.7067537602655246,0.0883282391338134,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
벽산,비금속광물,2022,27.123224290717864,0.007736764191485109,0.6803761931499158,0.002587986261803887,0.707009826896784,0.0751696627467233,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,일반배당기업
한창,유통업,2011,24.215981521355587,0.004774479062562462,0.7633352049410445,0.002335954253738863,0.7529203443203074,0.07506605190902968,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
가온전선,전기전자,2011,26.957482016290882,0.0075033105136917844,0.685780460415497,0.0031087216558993267,0.6854380309470052,0.06838315287779101,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
경방,섬유의복,2011,27.932845955312732,0.008960248850689587,0.6546181920269513,0.00239945259040116,0.679461717913134,0.0687975962285655,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
삼성제약,의약품,2014,24.773490507280087,0.011434545522686386,0.6126473891072433,0.0014668360936313622,0.5741857989264832,0.10034709630627364,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
대한유화,화학,2012,27.876418740621453,0.005573999350389766,0.7373666479505896,0.002406562442768753,0.6916157400879815,0.07263119722322955,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
명문제약,의약품,2015,26.01866556632756,0.015389984759144514,0.5640791690061764,0.0027936816458180463,0.6789624093549451,0.07853701497176604,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
OCI,화학,2011,29.60579816994464,0.007314361383170098,0.6902021336327906,0.0030398296381305796,0.7735998423540319,0.09646168989276278,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
환인제약,의약품,2012,25.92412602954677,0.0009080489206476115,0.9565553060078609,0.0022729462517226072,0.7413646728689942,0.07568771693519141,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
휠라홀딩스,유통업,2021,29.087041336667276,0.006710817259644213,0.7052919708029197,0.0028571799824803432,0.7261764016373863,0.13360617520592655,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,고배당기업
종근당,의약품,2017,27.24124036520153,0.005303068159104537,0.7457888826501966,0.002335954253738863,0.7142839199552302,0.09630627363622235,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
태영건설,건설업,2013,28.727688200246128,0.010703734009594243,0.6238770353733858,0.0022270999623177825,0.6981067021024094,0.07169869968398694,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
미래에셋증권,증권,2015,31.173307240535994,0.054628160603637815,0.41563728242560366,0.003064346370432625,0.49425361821929537,0.07693104698751489,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
한진칼,서비스업,2015,28.470451943200104,0.004501205526683989,0.7730207748455924,0.002717924943004727,0.7331736412875199,0.07693104698751489,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
현대모비스,운수장비,2021,31.572263778716472,0.0035611445632620425,0.809868051656373,0.002335954253738863,0.7065659450074457,0.07786354452675749,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,고배당기업
율촌화학,화학,2018,27.143604924105087,0.006456282480511693,0.7120297585626054,0.002335954253738863,0.701313980554581,0.07936590167331503,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
미원화학,화학,2021,25.619935624341288,0.0009041450129922047,0.9568360471645145,0.0029057231124383926,0.7026651668205126,0.08164534010257472,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,고배당기업
