,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
동아지질,건설업,2015,26.28177889522994,-0.19741744691338767,0.005721211155193116,-0.036334550779846896,0.09183074318499071,-0.3301731011888916,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한농화성,화학,2012,25.582198629757045,-0.23215459084757686,0.19587014514096418,-0.028830271005918957,0.05216438584176879,-0.3301731011888916,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
인디에프,섬유의복,2012,26.06726025074949,-0.11433668530776833,-0.3553744245665549,-0.0501258130361305,0.33081832991708954,-0.4027871016020152,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
토니모리,화학,2021,26.032007743674775,-0.13289811768920679,-0.28418566110390175,-0.03212413426546748,-0.3134873497484176,-0.15428585574377005,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,무배당기업
신성이엔지,기계,2011,26.752076940630566,0.029068731537526062,-0.7825070053424749,-0.05486611190095902,-1.550769681573999,-0.005830566010273001,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
광명전기,전기전자,2017,25.751853289106307,-0.27465188165310195,0.4717266035587457,-0.025307269432662708,0.16268578466494146,-0.05746718852627202,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
신흥,유통업,2017,25.600429195698144,-0.2904605592322085,0.5892817326977323,-0.035833310718611254,-0.13228976582769877,-0.17364958918726967,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
신라교역,"농업, 임업 및 어업",2017,27.033089676168252,-0.38827511320840463,1.5920129338394473,0.018844819389894237,0.3207072125650786,-0.3834233681585155,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
사조대림,음식료품,2018,27.30373298995609,-0.091423278667405,-0.4373351719742149,-0.039427918014901156,-0.21812061737267915,-0.29951385657001717,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
미래에셋증권,증권,2022,31.98166979564436,1.545757977485235,-1.943071188634941,0.02788146163674257,0.9411072108859849,-0.33985496791064135,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
세방,운수창고업,2022,27.87864167571418,-0.35424582050910075,1.1765890312646223,-0.0006319372752622547,-0.00537924769592292,-0.2866047009410175,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,고배당기업
남성,유통업,2017,26.038617065019313,-0.07862952301466211,-0.48042310775424196,-0.017989164538622298,0.21452566180948163,-0.2430363006931433,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
동성제약,의약품,2017,25.545037219641994,-0.1823428372815697,-0.06874598220376674,-0.027340871966818756,-0.12690168404962193,0.02160138970135144,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
이수화학,화학,2018,27.564512377854278,-0.07933737424954751,-0.47808137211402324,-0.02989003570681718,-0.4412962636845875,-0.44796914630351425,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,일반배당기업
MH에탄올,음식료품,2021,26.835754278007272,0.7084224000406545,-1.6138231576201696,-0.020896356893789037,1.4435090995038382,0.034510545330351194,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,고배당기업
대원제약,의약품,2021,26.786073642549812,-0.1732456380776726,-0.1113655708557498,-0.03212413426546748,0.1482844919964612,0.17005667943484856,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
벽산,비금속광물,2022,27.123224290717864,-0.16695362710091377,-0.13993474566642017,-0.017401997609746256,0.15484726215554323,-0.23980901178589337,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,일반배당기업
한창,유통업,2011,24.215981521355587,-0.26641983395850916,0.41365155968131795,-0.03212413426546748,1.3314948099174748,-0.2430363006931433,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
가온전선,전기전자,2011,26.957482016290882,-0.17479242410945914,-0.1038720168070496,0.01301611353495402,-0.39801953677368695,-0.4511964352107642,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
경방,섬유의복,2011,27.932845955312732,-0.12587203876515943,-0.3118181416584841,-0.02841495781232371,-0.5511873612852695,-0.43828727958176444,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
