,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
광명전기,전기전자,2017,152717140000.0,58.01,63.29,4.76,0.0654522955965872,1.535,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
신흥,유통업,2017,131257804000.0,51.98,65.8,-2.59,0.0210220620005265,1.175,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
신라교역,"농업, 임업 및 어업",2017,549948061000.0,14.67,87.21,35.59,0.0892540274454149,0.5249999999999999,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
사조대림,음식료품,2018,720876010000.0,127.9,43.88,-5.1,0.0080939234564222,0.785,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
미래에셋증권,증권,2022,77528737937000.0,752.38,11.73,41.9,0.1827008124496564,0.66,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
세방,운수창고업,2022,1280973787000.0,27.65,78.34,21.99,0.0401377614440049,0.825,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,고배당기업
남성,유통업,2017,203435953000.0,132.78,42.96,9.87,0.0732605964787326,0.96,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
동성제약,의약품,2017,124184875000.0,93.22,51.75,3.34,0.0218336334397011,1.78,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
이수화학,화학,2018,935654740000.0,132.51,43.01,1.56,-0.0255215612236795,0.3249999999999999,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,일반배당기업
MH에탄올,음식료품,2021,451460752000.0,432.99,18.76,7.84,0.2583743156709013,1.82,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,고배당기업
대원제약,의약품,2021,429579922000.0,96.69,50.84,0.0,0.0632831232828914,2.24,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
벽산,비금속광물,2022,601820034000.0,99.09,50.23,10.28,0.064271630332775,0.97,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,일반배당기업
한창,유통업,2011,32875105000.0,61.15,62.05,0.0,0.2415023374879397,0.96,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
가온전선,전기전자,2011,509900791000.0,96.1,51.0,31.52,-0.0190030715294897,0.315,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
경방,섬유의복,2011,1352324332000.0,114.76,46.56,2.59,-0.0420737369154327,0.355,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
삼성제약,의약품,2014,57410354000.0,146.45,40.58,-35.45,-0.4484757252941136,3.4,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
대한유화,화학,2012,1278129428000.0,71.39,58.35,2.88,0.0048450534993337,0.7250000000000001,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
명문제약,의약품,2015,199417323000.0,197.11,33.66,18.67,-0.0440012431563253,1.295,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
OCI,화학,2011,7205013146000.0,93.68,51.63,28.71,0.3213324562888436,3.0250000000000004,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
환인제약,의약품,2012,181428238000.0,11.63,89.58,-2.57,0.1968933908259789,1.02,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
휠라홀딩스,유통업,2021,4288856815000.0,85.95,53.78,21.26,0.1382613343407454,6.609999999999999,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,고배당기업
종근당,의약품,2017,677205335000.0,67.92,59.55,0.0,0.092352182001756,3.01,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
태영건설,건설업,2013,2994170059000.0,137.09,42.18,-4.44,0.0299024445394299,0.635,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
미래에셋증권,증권,2015,34545805000000.0,699.66,12.51,29.71,-0.7570419908516174,1.14,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
한진칼,서비스업,2015,2315048939000.0,57.65,63.43,15.58,0.1652731347063829,1.14,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
현대모비스,운수장비,2021,51482537000000.0,45.61,68.68,0.0,0.062558090482743,1.23,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,고배당기업
율촌화학,화학,2018,614211350000.0,82.69,54.74,0.0,0.0422836647918213,1.375,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
미원화학,화학,2021,133843310000.0,11.58,89.62,23.24,0.0474997179066288,1.595,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,고배당기업
한국주강,기계,2011,83528606000.0,13.18,88.35,9.03,0.0677979706208816,0.5549999999999999,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,무배당기업
현대퓨처넷,서비스업,2022,915256452000.0,8.32,92.32,12.81,-0.6612387905616531,0.48,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
삼성출판사,서비스업,2012,86525481000.0,17.75,84.92,0.99,0.115826853475617,0.965,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,일반배당기업
OCI,화학,2018,5659590446000.0,62.05,61.71,-14.3,0.2173784898071319,0.965,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,일반배당기업
롯데관광개발,서비스업,2021,1302424557000.0,2371.97,4.05,538.49,-0.4753949918764293,14.615,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
동양고속,운수창고업,2016,237926437000.0,88.09,53.17,14.56,0.0949029627954554,0.735,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
아시아나항공,운수창고업,2016,8229241087000.0,689.86,12.66,-0.55,0.1143030590393341,1.4249999999999998,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
동아지질,건설업,2014,232681244000.0,71.47,58.32,-7.36,0.0981101789517391,0.76,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
대성홀딩스,서비스업,2022,1391346078000.0,130.05,43.47,33.25,0.005162319097417,4.735,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,일반배당기업
성신양회,비금속광물,2016,1016264029000.0,219.83,31.27,1.16,0.1632574107109084,0.895,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
현대비앤지스틸,철강금속,2017,584566534000.0,60.14,62.45,9.84,0.0709504478386274,0.55,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,무배당기업
태원물산,운수장비,2014,42447896000.0,35.28,73.92,-16.98,0.0125515559851696,0.63,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
유니드,화학,2021,1347710903000.0,35.71,73.69,0.0,0.1109751472764418,1.295,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,일반배당기업
삼원강재,운수장비,2015,223484365000.0,24.76,80.16,-3.74,0.086345286810031,0.885,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
대원전선,전기전자,2016,223175696000.0,171.13,36.88,-4.8,0.0279230201013778,1.62,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
주연테크,전기전자,2018,60682697000.0,35.92,73.57,-27.25,-0.1269933653938858,1.3050000000000002,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
한미사이언스,서비스업,2015,932024384000.0,59.53,62.69,45.74,0.0604243327644543,14.07,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
영보화학,화학,2015,172735283000.0,63.31,61.23,-0.05,0.1490421614063027,1.08,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한국특강,철강금속,2022,549828404000.0,173.2,36.6,15.1,0.0170557307002596,0.865,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,무배당기업
남해화학,화학,2021,719110525000.0,52.48,65.58,0.0,-0.0813227047764554,1.32,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
대원제약,의약품,2022,453550066000.0,82.32,54.85,35.21,0.0737686279094312,1.83,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
한국화장품제조,화학,2015,50200633000.0,44.52,69.2,28.26,0.1582593618467226,4.71,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
