회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
대성홀딩스(주),016710,2013/12,412769433,78.34,56.07,25.85,9564327,0.71,0.48,50912845,25
대신증권(주),003540,2013/03,11884635134,609.77,14.09,-39.45,393189,0.62,0.43,2602213844,8.9
대영포장(주),014160,2013/12,204157019,70.16,58.77,-4.52,13151267,0.98,0.56,223635578,0
대우전자부품(주),009320,2013/12,41087010,167.26,37.42,2.29,-1636911,3.27,1.86,20673836,0
대우조선해양(주),042660,2013/12,14735940374,408.43,19.67,10.86,-1268050527,2.63,1.55,13359585515,0
대원강업(주),000430,2013/12,822731635,128.96,43.68,8.59,27881948,1.64,1.11,800871403,24
대원전선(주),006340,2013/12,203285939,180.31,35.67,6.3,21805998,1.13,0.64,475383399,0
대원제약(주),003220,2013/12,158910505,29.36,77.3,15.24,12518298,1.86,1.2,154433943,14.85
대원화성(주),024890,2013/12,101609533,184.22,35.18,-6.46,-913248,2.35,0.89,109483790,0
대창단조(주),015230,2013/12,125423622,20.51,82.98,-23.85,24718459,1.05,0.76,212547375,20
대한방직(주),001070,2013/12,271948173,204.55,32.84,4.03,-24058182,0.27,0.21,269900175,0
대한유화(주),006650,2013/12,1299053468,72.98,57.81,-5.66,73806558,0.77,0.33,1957803507,15.06
대한전선(주),001440,2013/12,1491580774,447.31,18.27,-3.67,38858199,1.81,0.7,1910024553,0
대한제강(주),084010,2013/12,748079829,97.62,50.6,-1.21,822937,0.56,0.36,1032492372,9.18
대한제당(주),001790,2013/12,990983546,126.33,44.18,-9.99,26478264,0.74,0.48,1190727597,17.99
대한제분(주),001130,2013/12,714183751,22.21,81.82,-3.31,22061147,0.49,0.35,367082980,38.88
대한해운(주),005880,2013/12,1222386257,202.55,33.05,-10.1,210544964,2.46,0.2,535466465,0
대한화섬(주),003830,2013/12,503634565,26.51,79.04,-37.25,-20743204,0.24,0.18,216414071,12.69
덕양산업(주),024900,2013/12,228092729,308.41,24.49,-7.69,5617581,1.64,0.98,836617172,77.03
동국제강(주),001230,2013/12,7216455778,189.25,34.57,-19.27,-9945669,0.42,0.27,4011641842,2.16
동부건설(주),005960,2013/12,1650813313,533.36,15.79,-34.26,39334013,0.86,0.45,1001297431,0
동성제약(주),002210,2013/12,127090352,106.72,48.37,-11.12,-2567517,2.46,1.12,75175284,2.52
동아쏘시오홀딩스(주),000640,2013/12,575304405,68.86,59.22,-92.1,-8550369,3.24,1.77,73515209,20
동아에스티(주),170900,2013/12,925749867,,,,-14527246,,,495823073,
