종목명,ESG 통합등급,2013_E,2013_S,2013_G,평가연도
키움증권,B이하,B+,B이하,B이하,2013
키위미디어그룹,B이하,C,B이하,B이하,2013
태경산업,B이하,B,B이하,B이하,2013
태경화학,B이하,C,B이하,B이하,2013
태광산업,B이하,D,B이하,B이하,2013
태림포장,B이하,C,B이하,B이하,2013
태양금속공업,B이하,B,B이하,B이하,2013
태영건설,B이하,B+,B이하,B이하,2013
태원물산,B이하,B,B이하,B이하,2013
태평양물산,B이하,B,B이하,B이하,2013
텔코웨어,B이하,B,B이하,B이하,2013
티비에이치글로벌,B이하,C,B이하,B이하,2013
티에이치엔,B이하,C,B이하,B이하,2013
티웨이홀딩스,B이하,D,B이하,B이하,2013
티이씨코,B이하,D,B이하,B이하,2013
팀스,B이하,B,B이하,B이하,2013
파미셀,B이하,C,B이하,B이하,2013
파브코,B이하,B,B이하,B이하,2013
팜스코,B이하,C,B이하,B이하,2013
팬오션,B+,B,B+,B+,2013
퍼스텍,B이하,B,B이하,B이하,2013
퍼시스,B이하,B,B이하,B+,2013
페이퍼코리아,B이하,C,B이하,B이하,2013
평화산업,B이하,B,B이하,B이하,2013
평화홀딩스,B이하,B,B이하,B이하,2013
포스코,A,A+,A,A,2013
포스코강판,B+,B,B+,B+,2013
포스코대우,B+,B+,B+,B이하,2013
포스코플랜텍,B이하,C,B+,B+,2013
폴루스바이오팜,B이하,C,B이하,B이하,2013
풀무원,A,A,A,B+,2013
풍산,B+,B+,B이하,B+,2013
풍산홀딩스,B이하,B,B이하,B이하,2013
필룩스,B이하,B,B이하,B이하,2013
하나금융지주,A,A+,B+,B+,2013
하나투어,B이하,B,B이하,B이하,2013
하이스틸,B이하,B,B이하,B이하,2013
하이트론씨스템즈,B이하,B,B이하,B이하,2013
하이트진로,B+,B,B+,B+,2013
하이트진로홀딩스,B이하,B+,B이하,B이하,2013
한국가스공사,B+,B+,A,B+,2013
한국공항,B이하,C,B+,B이하,2013
한국금융지주,B이하,A,B이하,B이하,2013
한국내화,B이하,B,B이하,B이하,2013
한국단자공업,B이하,B,B이하,B이하,2013
한국석유공업,B이하,B,B이하,B이하,2013
한국수출포장공업,B이하,B,B이하,B+,2013
한국쉘석유,B+,B+,B+,B+,2013
한국유리공업,B이하,C,B이하,B이하,2013
한국전력공사,A,B+,A,A,2013
한국전자홀딩스,B이하,C,B이하,B이하,2013
한국제지,B이하,B,B이하,B+,2013
한국종합기술,B이하,B,B이하,B이하,2013
한국주강,B이하,C,B이하,B이하,2013
한국주철관공업,B이하,C,B이하,B이하,2013
한국철강,B+,B+,B이하,B+,2013
한국카본,B이하,B,B이하,B이하,2013
한국콜마홀딩스,B이하,C,B이하,B이하,2013
한국타이어월드와이드,A,B+,A,A,2013
한국특수형강,B이하,B,B이하,B이하,2013
한국프랜지공업,B이하,C,B이하,B이하,2013
한국항공우주,B+,B+,B+,B이하,2013
한국화장품,B이하,B,B이하,B이하,2013
한국화장품제조,B이하,C,B이하,B이하,2013
한농화성,B이하,B,B이하,B이하,2013
한독,B+,B+,B이하,B+,2013
한라,B+,B+,B+,B이하,2013
한라홀딩스,B이하,B,B이하,B+,2013
한미글로벌,B이하,B,B이하,B이하,2013
한미반도체,B이하,B+,B이하,B이하,2013
한미사이언스,B이하,B,B이하,B이하,2013
한미약품,B+,B,B+,B+,2013
한샘,B이하,B+,B이하,B이하,2013
한섬,B이하,B,B이하,B이하,2013
한성기업,B이하,C,B이하,B이하,2013
한세실업,B이하,B,B이하,B이하,2013
